Period,Value,state_name
2018,144989.07358,AL
2017,139964.25012,AL
2016,142385.09821,AL
2015,152477.42671,AL
2014,149340.44709,AL
2013,150572.92386,AL
2012,152878.68769,AL
2011,156339.20983,AL
2010,152150.51206,AL
2009,143255.55561,AL
2008,145869.89518,AL
2007,143826.27083,AL
2006,140895.4413,AL
2005,137948.58103,AL
2004,137354.77084,AL
2003,137487.222,AL
2002,132920.67,AL
2001,125345.113,AL
2018,6514.79244,AK
2017,6497.4656,AK
2016,6335.03351,AK
2015,6284.9373,AK
2014,6042.82963,AK
2013,6496.82164,AK
2012,6946.41882,AK
2011,6871.03279,AK
2010,6759.5757,AK
2009,6702.15939,AK
2008,6774.83438,AK
2007,6821.39162,AK
2006,6674.19677,AK
2005,6576.65854,AK
2004,6526.71686,AK
2003,6338.732,AK
2002,6767.325,AK
2001,6743.766,AK
2018,112302.87024,AZ
2017,105851.72128,AZ
2016,108763.4493,AZ
2015,113142.0477,AZ
2014,112257.18746,AZ
2013,113325.98612,AZ
2012,110904.99359,AZ
2011,108125.35689,AZ
2010,111750.95746,AZ
2009,111971.25025,AZ
2008,119459.17238,AZ
2007,113340.97027,AZ
2006,104392.52828,AZ
2005,101478.65433,AZ
2004,104564.14305,AZ
2003,94396.218,AZ
2002,94131.666,AZ
2001,89911.272,AZ
2018,67134.04279,AR
2017,60775.29807,AR
2016,60445.05937,AR
2015,55559.42755,AR
2014,61592.13666,AR
2013,60322.49214,AR
2012,65005.67798,AR
2011,61307.53589,AR
2010,61000.18454,AR
2009,57457.73903,AR
2008,55050.52783,AR
2007,54596.23556,AR
2006,52168.70298,AR
2005,47794.50885,AR
2004,51927.63221,AR
2003,50401.101,AR
2002,47611.645,AR
2001,47192.035,AR
2018,197226.89159,CA
2017,206146.39207,CA
2016,196963.21538,CA
2015,196703.85766,CA
2014,198807.62178,CA
2013,200077.11462,CA
2012,199518.56657,CA
2011,200804.84248,CA
2010,204125.59554,CA
2009,204776.13225,CA
2008,207984.26283,CA
2007,210847.58088,CA
2006,216798.68818,CA
2005,200292.81808,CA
2004,194780.355,CA
2003,192788.542,CA
2002,184210.031,CA
2001,198596.075,CA
2018,56009.94999,CO
2017,53844.00606,CO
2016,54418.48,CO
2015,52393.07748,CO
2014,53847.38591,CO
2013,52937.43591,CO
2012,52556.7011,CO
2011,51432.55429,CO
2010,50720.79178,CO
2009,50565.95155,CO
2008,53441.59356,CO
2007,53907.49213,CO
2006,50698.35285,CO
2005,49616.69434,CO
2004,47869.49241,CO
2003,46616.787,CO
2002,45600.388,CO
2001,46876.002,CO
2018,39042.22576,CT
2017,34562.6539,CT
2016,36496.55991,CT
2015,37470.62225,CT
